timestamp,road_id,road_name,road_type,lanes,length_km,zones,hour,day_of_week,month,year,is_weekend,is_peak_hour,is_monsoon,is_festival,festival_name,festival_mult,traffic_index,speed_kmph,travel_time_min,temperature,humidity,wind_speed_kmph,rainfall_mm
01-01-2024 00:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,0,0,1,2024,0,0,0,0,,1,7.4,79.7,28.6,22.7,80.6,12.7,0.4
01-01-2024 01:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,1,0,1,2024,0,0,0,0,,1,7.9,80,28.5,25.8,72,12,0.9
01-01-2024 02:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,2,0,1,2024,0,0,0,0,,1,4.8,79.5,28.7,24.9,78.9,8.8,0.5
01-01-2024 03:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,3,0,1,2024,0,0,0,0,,1,11.2,80,28.5,25.9,71.7,9.7,0.7
01-01-2024 04:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,4,0,1,2024,0,0,0,0,,1,4,80,28.5,25.6,78.6,9,0.5
01-01-2024 05:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,5,0,1,2024,0,0,0,0,,1,4,79.1,28.8,27.1,70.1,11.9,0.1
01-01-2024 06:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,6,0,1,2024,0,0,0,0,,1,15,76.2,29.9,24.7,82.5,9.8,0.2
01-01-2024 07:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,7,0,1,2024,0,1,0,0,,1,26.2,78.7,29,26.7,87,15.5,0.5
01-01-2024 08:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,8,0,1,2024,0,1,0,0,,1,35.2,80,28.5,26.4,78.5,11.4,0.6
01-01-2024 09:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,9,0,1,2024,0,1,0,0,,1,35.6,76.9,29.6,24.8,79.5,10.4,0.2
01-01-2024 10:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,10,0,1,2024,0,1,0,0,,1,37.4,79.4,28.7,27.8,80.4,12,0.5
01-01-2024 11:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,11,0,1,2024,0,0,0,0,,1,26,77.1,29.6,25.4,82.9,9.3,0.3
01-01-2024 12:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,12,0,1,2024,0,0,0,0,,1,29,80,28.5,26.8,81.1,10,0.1
01-01-2024 13:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,13,0,1,2024,0,0,0,0,,1,26.9,80,28.5,23.3,80.3,6.8,0.2
01-01-2024 14:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,14,0,1,2024,0,0,0,0,,1,28.8,79.3,28.7,24.4,78.7,12.9,0.3
01-01-2024 15:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,15,0,1,2024,0,0,0,0,,1,23.7,80,28.5,23.5,74.3,14,0.3
01-01-2024 16:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,16,0,1,2024,0,0,0,0,,1,25.7,77.8,29.3,22.5,85,4.8,0.3
01-01-2024 17:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,17,0,1,2024,0,1,0,0,,1,38.8,77.4,29.5,23.8,81.4,21.5,0.2
01-01-2024 18:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,18,0,1,2024,0,1,0,0,,1,42.3,75.7,30.1,24.1,74.1,16.1,0.2
01-01-2024 19:00,NH48_Bypass,NH-48 Chennai Bypass,NH,6,38,Ambattur_Avadi|Alandur_Guindy|Tambaram_Pallavaram,19,0,1,2024,0,1,0,0,,1,37,80,28.5,24.1,67.5,12.1,0.8
