Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),WS (m/s),WD (deg),SR (W/mt2),BP (mmHg),VWS (m/s)
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T00:00:00.000000+0000,47.96,69.8,36.2,56.33,92.53,29.96,8.79,3.11,18.15,0.09,1.28,0.21,0.54,85.31,1.37,173.15,0.11,759.38,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T00:15:00.000000+0000,46,67.45,37.34,57.02,94.36,30.19,10.32,3.54,17.34,0,0.98,0.76,0.33,85.56,1.37,175.04,0.67,759.3,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T00:30:00.000000+0000,46,67.45,38.6,57.52,96.12,30.51,10.82,2.95,17.75,0.15,1.38,0.37,0.55,86.36,1.37,171.44,0.13,759.3,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T00:45:00.000000+0000,46,67.45,38.65,55.86,94.52,30.63,10.39,3.36,18.04,0.18,1.04,0.49,0.63,86.59,1.2,183.91,0.67,759.22,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T01:00:00.000000+0000,44.82,66.12,38.53,54.7,93.23,30.65,10.48,4.06,17.85,0.42,0.32,0.27,0.56,88.28,1.37,175.43,,759.15,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T01:15:00.000000+0000,39.77,59.97,38.56,53.18,91.73,30.62,10.48,5.73,18.37,0.24,1.59,0.63,0.25,90.27,1.37,175.26,,759.08,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T01:30:00.000000+0000,39.77,59.97,39.72,54.19,93.91,30.91,10.39,6.07,18.51,0.41,1.16,0.79,0.6,91.65,1.37,174.54,,759,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T01:45:00.000000+0000,39.77,59.97,41.41,55.19,96.59,31.3,10.44,6.25,18.42,0.27,0.64,0.35,0.52,94.5,1.37,173.15,,758.78,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T02:00:00.000000+0000,39.67,59.86,39.25,48.51,88.4,31.42,8.58,5.73,18.14,0.04,1.51,0.59,0.37,95.66,1.37,173.15,,758.78,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T02:15:00.000000+0000,39.23,59.33,38.75,48.31,87.07,30.69,9.69,5.4,18.01,0.64,0.66,0.58,0.75,96.49,1.37,167.81,,758.7,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T02:30:00.000000+0000,39.23,59.33,38.17,46.27,84.44,30.47,10.19,5.17,17.88,0.43,0.78,0.22,0.41,96.84,1.38,166.3,,758.78,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T02:45:00.000000+0000,39.23,59.33,37.98,44.68,82.66,30.12,10.06,6.01,17.38,1.23,1.71,0.57,0.4,95.83,1.29,169.44,0.2,758.62,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T03:00:00.000000+0000,39.04,59.08,37.25,43.2,80.44,30.18,9.64,6.79,17.05,0.43,0.83,0.39,0.07,96.53,1.37,170.17,,758.47,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T03:15:00.000000+0000,38.13,58.01,36.2,41.21,77.41,30.05,9.73,5.82,17.8,0.04,1.89,0.2,0.22,96.74,1.38,170.17,,758.47,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T03:30:00.000000+0000,38.13,58.01,34.98,39.58,74.56,29.51,10.17,5.72,18.01,0.16,1.72,0.03,0.38,96.09,1.35,177.19,0.06,758.47,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T03:45:00.000000+0000,38.13,58.01,33.78,38.44,72.21,29.17,10.1,5.62,18.19,0.31,1.63,0.19,0.24,94.29,1.31,184.03,0.72,758.55,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T04:00:00.000000+0000,37.67,57.49,32.59,37.49,70.08,29.01,7.82,5.32,18.3,0.25,1.16,0.2,0.03,93.7,1.35,184.73,0.45,758.62,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T04:15:00.000000+0000,35.7,55.09,31.72,36.95,68.67,29.27,9.55,5.87,18.13,0.28,1.21,0.37,0.24,93.86,1.36,178.25,0.13,758.62,-0.51
site_293,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",2024-01-01T04:30:00.000000+0000,35.7,55.09,31.06,36.41,67.46,29,9.88,6.43,18.4,0.62,0.82,0.51,0.36,94.57,1.37,174.46,,758.62,-0.51
