Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),BP (mmHg)
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T00:00:00.000000+0000,,,,,,,,,,0,,
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T00:15:00.000000+0000,,,,,,,,,,0,,
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T00:30:00.000000+0000,80,,5.7,54.2,33.5,13.1,19.4,82,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T00:45:00.000000+0000,203,,6,49.3,31.1,14.7,20.5,82,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T01:00:00.000000+0000,203,,4.2,44.6,27.2,17.1,16.5,83,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T01:15:00.000000+0000,203,,5.8,41.9,27,18.5,14.2,84,1.1,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T01:30:00.000000+0000,203,,2.6,44.2,25.6,18.1,11.7,86,0.7,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T01:45:00.000000+0000,107,,4.4,36.1,22.8,22.2,10.1,87,0.8,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T02:00:00.000000+0000,107,,4.2,30.3,19.5,26,8.7,87,0.9,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T02:15:00.000000+0000,107,,2.7,27.7,17,26,7.3,87,1.3,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T02:30:00.000000+0000,107,,4.3,25.6,17.1,28.1,7.4,87,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T02:45:00.000000+0000,86,,3.7,24.3,15.9,28,7.5,87,1.3,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T03:00:00.000000+0000,86,,3.7,23.8,15.6,28.7,9.1,88,1.1,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T03:15:00.000000+0000,86,,4,20.1,14,29.5,9.3,88,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T03:30:00.000000+0000,86,,3.2,21.1,13.8,27.7,8.8,88,1.5,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T03:45:00.000000+0000,82,,3,22.2,14.2,29.4,9.3,88,1.6,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T04:00:00.000000+0000,82,,5.3,18.1,13.9,29.6,9.7,88,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T04:15:00.000000+0000,82,,5.5,19.1,14.7,29.3,9,89,1.3,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T04:30:00.000000+0000,82,,4,18.6,13.1,30,9.2,89,1.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T04:45:00.000000+0000,69,,4.5,19,13.8,29.3,9.8,89,1.6,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T05:00:00.000000+0000,69,,3.5,23.2,15.2,28,12.2,89,1.7,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T05:15:00.000000+0000,69,,4.5,22,15.4,27.7,12.6,88,2.2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T05:30:00.000000+0000,69,,2.2,19.9,12.3,31.6,12.7,87,2,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T05:45:00.000000+0000,72,,3.2,21.4,14,27.7,12.8,88,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T06:00:00.000000+0000,72,,4.3,20.9,14.6,24.1,10.2,88,1.4,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T06:15:00.000000+0000,72,,5.1,21.1,15.4,24.7,8.5,88,1.4,0,53,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T06:30:00.000000+0000,72,,4.9,21.9,15.6,24.8,7,88,1.4,0,58,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T06:45:00.000000+0000,80,,3.4,26.3,16.8,23.4,6.3,88,1.5,0,70,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-01T07:00:00.000000+0000,80,,4.3,28.6,18.7,21.3,6.6,88,1.3,0,88,719
