Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T00:00:00.000000+0000,59.42,103.47,,87.45,71.55,,7.16,1.06,19.51,0.77,1.29,,,0.12,0.34,,79.92,1.48,220.63,,,83.0,1009.1,-0.44
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T00:15:00.000000+0000,61.94,107.67,3.34,43.3,45.99,14.27,7.21,1.28,17.28,0.87,1.55,,,0.13,0.43,,81.29,1.53,217.42,,,79.5,1009.0,-0.43
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T00:30:00.000000+0000,64.94,112.68,1.43,18.89,15.05,16.16,7.9,1.38,17.59,0.94,1.8,,,0.15,0.5,,90.4,0.94,197.29,,,78.9,1009.0,-0.45
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T00:45:00.000000+0000,64.94,112.68,,19.73,11.31,9.96,7.81,1.18,19.85,0.98,1.86,,,0.16,0.48,,98.26,0.91,194.55,,,80.0,1008.9,-0.46
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T01:00:00.000000+0000,64.94,112.68,,19.45,10.54,12.09,4.94,1.34,14.24,1.06,1.98,,,0.17,0.51,,98.54,0.72,196.84,,,81.2,1008.8,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T01:15:00.000000+0000,65.02,112.8,6.86,30.2,37.01,29.19,5.92,1.71,17.8,1.08,2.05,,,0.17,0.52,,98.55,0.46,178.92,,,80.1,1008.7,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T01:30:00.000000+0000,65.11,112.96,0.1,10.99,8.32,15.43,6.17,1.2,20.56,1.04,1.99,,,0.17,0.51,,98.55,0.38,186.83,,,80.5,1008.6,-0.48
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T01:45:00.000000+0000,65.11,112.96,1.47,25.68,23.07,19.87,6.34,1.6,11.29,1.02,2.03,,,0.17,0.54,,98.57,0.46,219.79,,,81.0,1008.5,-0.46
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T02:00:00.000000+0000,65.11,112.96,11.0,24.42,34.34,39.47,5.99,1.96,11.85,1.02,2.14,,,0.18,0.53,,98.57,0.42,121.08,,,78.5,1008.4,-0.46
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T02:15:00.000000+0000,68.12,117.96,,15.02,0.3,7.62,6.87,1.29,15.5,1.07,2.24,,,0.19,0.54,,98.58,0.44,139.91,,,79.1,1008.4,-0.46
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T02:30:00.000000+0000,71.87,124.22,7.24,20.76,25.64,39.57,6.57,1.24,10.29,1.27,2.41,,,0.2,0.6,,98.6,0.47,94.9,,,77.0,1008.3,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T02:45:00.000000+0000,71.87,124.22,2.24,15.38,14.35,22.81,5.73,1.94,9.58,1.44,2.56,,,0.21,0.63,,98.6,0.69,127.2,,,79.0,1008.3,-0.46
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T03:00:00.000000+0000,71.87,124.22,,20.71,15.41,12.7,4.09,1.41,15.87,1.42,2.59,,,0.21,0.62,,98.6,0.4,160.79,,,78.2,1008.2,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T03:15:00.000000+0000,76.63,132.15,0.39,25.74,21.17,24.25,6.01,1.44,10.06,1.59,2.73,,,0.21,0.61,,98.6,0.26,183.87,,,77.9,1008.1,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T03:30:00.000000+0000,82.32,141.64,2.56,29.4,31.05,30.74,6.75,1.94,10.51,1.69,2.82,,,0.21,0.61,,98.6,0.34,105.96,,,77.7,1008.2,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T03:45:00.000000+0000,82.32,141.64,0.04,24.25,16.24,22.73,7.19,1.34,14.3,1.7,2.79,,,0.2,0.56,,98.6,0.34,239.76,,,79.4,1008.2,-0.48
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T04:00:00.000000+0000,82.32,141.64,0.72,27.1,25.57,24.88,7.07,1.39,8.83,1.73,2.74,,,0.19,0.53,,98.6,0.87,224.74,,,81.5,1008.2,-0.47
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T04:15:00.000000+0000,80.27,138.22,0.88,34.07,32.86,25.22,7.11,1.49,11.51,1.72,2.75,,,0.2,0.56,,98.6,1.08,223.45,,,81.2,1008.2,-0.45
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T04:30:00.000000+0000,77.82,134.14,,20.7,7.77,1.82,7.55,1.19,14.55,1.69,2.75,,,0.2,0.55,,98.6,0.99,234.88,,,81.2,1008.2,-0.46
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T04:45:00.000000+0000,77.82,134.14,3.75,25.5,29.15,28.32,6.76,1.59,7.73,1.66,2.69,,,0.19,0.54,,98.6,1.65,225.77,,,82.6,1008.4,-0.42
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T05:00:00.000000+0000,77.82,134.14,,16.27,6.05,15.22,5.43,1.76,13.11,1.64,2.68,,,0.19,0.5,,98.6,1.14,217.94,,,89.0,1008.5,-0.45
site_306,Tamil Nadu,Chennai,"Manali, Chennai - CPCB",2024-01-01T05:15:00.000000+0000,74.03,127.83,0.02,19.96,9.76,12.13,7.34,1.28,15.06,1.93,2.66,,,0.19,0.48,,98.6,1.05,221.09,,,87.8,1008.7,-0.45
