timestamp,zone,pm25,pm10,no2,data_source
2024-01-01 00:00:00+00:00,Adyar_Besant_Nagar,52.0,104.8,10.5,interpolated
2024-01-01 01:00:00+00:00,Adyar_Besant_Nagar,70.7,113.4,13.6,interpolated
2024-01-01 02:00:00+00:00,Adyar_Besant_Nagar,63.6,139.0,23.5,interpolated
2024-01-01 03:00:00+00:00,Adyar_Besant_Nagar,105.0,227.2,24.6,interpolated
2024-01-01 04:00:00+00:00,Adyar_Besant_Nagar,95.9,190.5,21.1,interpolated
2024-01-01 05:00:00+00:00,Adyar_Besant_Nagar,73.5,138.3,17.1,interpolated
2024-01-01 06:00:00+00:00,Adyar_Besant_Nagar,63.1,127.1,18.7,interpolated
2024-01-01 07:00:00+00:00,Adyar_Besant_Nagar,64.4,126.1,18.0,interpolated
2024-01-01 08:00:00+00:00,Adyar_Besant_Nagar,69.2,134.0,22.2,interpolated
2024-01-01 09:00:00+00:00,Adyar_Besant_Nagar,79.1,149.6,19.0,interpolated
2024-01-01 10:00:00+00:00,Adyar_Besant_Nagar,75.5,142.7,15.3,interpolated
2024-01-01 11:00:00+00:00,Adyar_Besant_Nagar,63.0,118.8,10.5,interpolated
2024-01-01 12:00:00+00:00,Adyar_Besant_Nagar,52.9,117.5,10.1,interpolated
2024-01-01 13:00:00+00:00,Adyar_Besant_Nagar,53.0,116.7,8.9,interpolated
2024-01-01 14:00:00+00:00,Adyar_Besant_Nagar,52.3,108.0,8.2,interpolated
2024-01-01 15:00:00+00:00,Adyar_Besant_Nagar,51.8,106.7,7.4,interpolated
2024-01-01 16:00:00+00:00,Adyar_Besant_Nagar,50.8,106.5,6.7,interpolated
2024-01-01 17:00:00+00:00,Adyar_Besant_Nagar,45.8,100.7,8.1,interpolated
2024-01-01 18:00:00+00:00,Adyar_Besant_Nagar,49.3,98.6,14.2,interpolated
2024-01-01 19:00:00+00:00,Adyar_Besant_Nagar,52.5,95.6,16.9,interpolated
2024-01-01 20:00:00+00:00,Adyar_Besant_Nagar,58.3,102.4,14.9,interpolated
2024-01-01 21:00:00+00:00,Adyar_Besant_Nagar,38.5,77.3,12.3,interpolated
2024-01-01 22:00:00+00:00,Adyar_Besant_Nagar,36.0,74.8,10.8,interpolated
2024-01-01 23:00:00+00:00,Adyar_Besant_Nagar,36.3,75.8,7.2,interpolated
2024-01-02 00:00:00+00:00,Adyar_Besant_Nagar,34.4,77.6,6.1,interpolated
2024-01-02 01:00:00+00:00,Adyar_Besant_Nagar,33.2,68.3,6.1,interpolated
2024-01-02 02:00:00+00:00,Adyar_Besant_Nagar,28.1,60.8,5.7,interpolated
2024-01-02 03:00:00+00:00,Adyar_Besant_Nagar,27.1,58.0,5.4,interpolated
2024-01-02 04:00:00+00:00,Adyar_Besant_Nagar,26.6,58.6,7.1,interpolated
2024-01-02 05:00:00+00:00,Adyar_Besant_Nagar,29.5,68.1,17.4,interpolated
2024-01-02 06:00:00+00:00,Adyar_Besant_Nagar,49.4,103.2,27.6,interpolated
2024-01-02 07:00:00+00:00,Adyar_Besant_Nagar,52.6,111.2,30.6,interpolated
2024-01-02 08:00:00+00:00,Adyar_Besant_Nagar,60.4,125.7,28.6,interpolated
2024-01-02 09:00:00+00:00,Adyar_Besant_Nagar,66.6,138.9,29.9,interpolated
2024-01-02 10:00:00+00:00,Adyar_Besant_Nagar,60.1,132.1,14.6,interpolated
2024-01-02 11:00:00+00:00,Adyar_Besant_Nagar,43.0,109.2,8.3,interpolated
2024-01-02 12:00:00+00:00,Adyar_Besant_Nagar,39.7,99.0,8.7,interpolated
2024-01-02 13:00:00+00:00,Adyar_Besant_Nagar,39.9,94.5,8.1,interpolated
2024-01-02 14:00:00+00:00,Adyar_Besant_Nagar,42.7,94.0,7.2,interpolated
2024-01-02 15:00:00+00:00,Adyar_Besant_Nagar,47.4,97.0,9.3,interpolated
2024-01-02 16:00:00+00:00,Adyar_Besant_Nagar,52.7,102.3,9.4,interpolated
2024-01-02 17:00:00+00:00,Adyar_Besant_Nagar,54.3,99.5,8.3,interpolated
2024-01-02 18:00:00+00:00,Adyar_Besant_Nagar,59.2,95.4,10.4,interpolated
2024-01-02 19:00:00+00:00,Adyar_Besant_Nagar,60.8,99.2,11.1,interpolated
2024-01-02 20:00:00+00:00,Adyar_Besant_Nagar,53.5,89.6,14.5,interpolated
2024-01-02 21:00:00+00:00,Adyar_Besant_Nagar,46.3,80.1,21.8,interpolated
2024-01-02 22:00:00+00:00,Adyar_Besant_Nagar,39.6,68.0,15.0,interpolated
2024-01-02 23:00:00+00:00,Adyar_Besant_Nagar,34.0,61.9,9.6,interpolated
2024-01-03 00:00:00+00:00,Adyar_Besant_Nagar,32.1,63.3,10.1,interpolated
2024-01-03 01:00:00+00:00,Adyar_Besant_Nagar,30.1,58.5,10.2,interpolated
2024-01-03 02:00:00+00:00,Adyar_Besant_Nagar,33.2,82.1,17.6,interpolated
2024-01-03 03:00:00+00:00,Adyar_Besant_Nagar,41.1,131.7,20.4,interpolated
2024-01-03 04:00:00+00:00,Adyar_Besant_Nagar,46.2,111.1,21.9,interpolated
