Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T00:00:00.000000+0000,46.0,83.8,6.76,5.72,8.48,4.73,27.98,0.39,1.7,,,,,,,26.6,,0.96,114.3,,0.0,0.0,1014.94,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T00:15:00.000000+0000,46.0,83.8,6.93,6.91,9.85,3.98,28.23,0.39,1.69,,,,,,,26.5,,0.65,122.62,,0.0,0.0,1014.87,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T00:30:00.000000+0000,46.0,83.8,7.3,11.13,14.43,0.81,27.83,0.37,1.99,,,,,,,26.34,,0.54,115.8,,0.0,0.0,1014.81,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T00:45:00.000000+0000,45.27,82.48,8.07,26.32,30.38,,28.49,0.34,2.56,,,,,,,26.29,,0.63,94.9,,0.0,0.0,1014.7,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T01:00:00.000000+0000,45.0,82.0,6.5,10.55,13.05,0.76,28.53,0.36,2.58,,,,,,,26.26,,0.6,123.38,,0.0,0.0,1014.54,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T01:15:00.000000+0000,45.0,82.0,7.1,20.36,23.48,,29.63,0.39,2.24,,,,,,,26.28,,0.6,119.01,,0.0,0.0,1014.4,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T01:30:00.000000+0000,45.0,82.0,7.42,27.78,31.21,,29.37,0.32,2.82,,,,,,,26.17,,0.56,198.66,,0.0,0.0,1014.28,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T01:45:00.000000+0000,51.6,94.06,7.61,27.96,31.58,,29.19,0.33,2.84,,,,,,,24.85,,0.65,247.58,,0.0,0.0,1014.09,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T02:00:00.000000+0000,54.0,98.2,6.74,9.66,12.4,1.16,29.53,0.42,2.71,,,,,,,24.25,,0.82,255.67,,0.0,0.0,1013.95,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T02:15:00.000000+0000,54.0,98.2,6.49,3.56,6.04,5.93,29.41,0.33,2.8,,,,,,,23.87,,0.76,264.55,,0.0,0.0,1013.92,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T02:30:00.000000+0000,54.0,98.2,6.55,2.59,5.15,7.22,29.74,0.39,2.39,,,,,,,23.67,,0.71,274.79,,0.0,0.0,1013.85,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T02:45:00.000000+0000,68.67,124.6,6.55,3.2,5.74,6.56,29.03,0.39,2.98,,,,,,,23.39,,0.88,266.34,,0.0,0.0,1013.83,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T03:00:00.000000+0000,74.0,134.2,6.05,2.12,4.17,7.17,29.52,0.41,2.4,,,,,,,23.25,,0.87,257.04,,0.0,0.0,1013.74,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T03:15:00.000000+0000,74.0,134.2,5.98,0.19,2.17,8.51,28.87,0.45,1.91,,,,,,,23.15,,0.74,282.04,,0.0,0.0,1013.67,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T03:30:00.000000+0000,74.0,134.2,6.04,,1.64,9.31,29.17,0.46,2.07,,,,,,,23.17,,0.77,282.44,,0.0,0.0,1013.7,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T03:45:00.000000+0000,98.93,179.76,5.99,,1.72,9.17,28.27,0.42,1.9,,,,,,,23.18,,0.62,272.4,,0.0,0.0,1013.74,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T04:00:00.000000+0000,108.0,195.4,5.72,,0.47,9.64,28.94,0.4,1.74,,,,,,,23.29,,0.8,285.52,,0.0,0.0,1013.79,
