_id,Station ID,State,City,Station Name,Timestamp,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),O Xylene (ug/m3),Eth-Benzene (ug/m3),MP-Xylene (ug/m3),AT (degC),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
1,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:00:00,22.75,79.76,2.34,17.1,19.44,17.29,11.46,1.55,21.63,0.61,5.91,,,0.4,0.3,,90.65,1.29,7.18,,,,1011.9,-0.5
2,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:15:00,29.47,81.85,2.47,16.98,19.45,17.39,11.08,1.42,20.77,1.46,1.13,,,1.1,0.01,,91.19,1.22,12.03,,,,1011.8,-0.5
3,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:30:00,30.22,81.85,2.6,17.59,20.19,17.36,11.31,1.69,20.95,1.49,0.0,,,1.06,0.62,,90.79,1.47,342.03,,,,1011.7,-0.5
4,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T00:45:00,30.22,81.85,2.75,17.75,20.5,17.61,10.71,1.21,20.5,1.31,3.8,,,0.27,0.28,,91.39,1.81,333.97,,,,1011.6,-0.5
5,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:00:00,30.22,80.46,3.09,19.14,22.23,17.79,11.06,1.26,20.5,1.33,1.57,,,1.98,0.78,,91.72,1.26,5.46,,,,1011.5,-0.5
6,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:15:00,25.53,72.27,3.66,20.23,23.89,18.03,11.18,1.48,19.58,0.0,0.0,,,,,,91.92,1.12,71.33,,,,1011.5,-0.5
7,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:30:00,25.01,72.27,4.12,20.2,24.32,18.16,10.92,1.42,19.08,0.0,0.0,,,2.5,0.26,,91.88,0.93,16.69,,,,1011.2,-0.5
8,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T01:45:00,25.01,72.27,6.15,25.15,31.3,19.29,11.21,1.47,18.75,0.83,1.94,,,1.3,1.5,,91.81,1.23,62.24,,,,1010.9,-0.5
9,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:00:00,25.01,73.38,7.56,28.5,36.06,20.02,11.07,1.53,18.67,1.51,8.45,,,1.38,,,91.79,1.02,55.92,,,,1010.9,-0.5
10,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:15:00,26.61,79.98,10.0,33.28,43.28,20.8,11.05,1.48,18.67,0.0,0.0,,,0.37,,,91.78,1.0,50.34,,,,1010.9,-0.5
11,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:30:00,26.78,79.98,12.9,37.11,50.01,21.84,10.93,1.49,18.69,0.0,0.0,,,1.76,0.37,,91.77,1.03,27.14,,,,1010.9,-0.5
12,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T02:45:00,26.78,79.98,14.96,39.49,54.44,22.52,11.18,1.47,18.85,1.02,1.78,,,0.31,,,91.75,1.32,61.64,,,,1010.7,-0.5
13,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:00:00,26.78,83.9,16.14,39.7,55.84,22.67,11.08,1.26,19.22,1.2,3.65,,,1.16,1.4,,91.82,1.2,66.22,,,,1010.6,-0.5
14,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:15:00,27.0,107.17,16.18,38.66,54.84,22.51,11.11,1.39,18.83,2.41,0.0,,,,0.34,,91.81,1.09,37.15,,,,1010.5,-0.5
15,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:30:00,27.02,107.17,14.9,37.55,52.45,22.13,10.95,1.34,18.83,0.92,1.18,,,1.43,0.82,,91.82,1.94,95.15,,,,1010.5,-0.5
16,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T03:45:00,27.02,107.17,12.37,35.3,47.67,21.32,11.25,1.47,18.99,0.91,1.49,,,0.51,0.21,,91.84,0.45,39.04,,,,1010.6,-0.5
17,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:00:00,27.02,109.11,15.49,41.51,57.0,21.8,10.86,1.51,18.97,0.0,1.12,,,,,,91.83,1.17,92.22,,,,1010.6,-0.5
18,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:15:00,26.75,120.62,12.01,36.28,48.29,20.66,11.12,1.33,18.76,0.0,0.0,,,,0.31,,91.91,1.3,64.79,,,,1010.6,-0.5
19,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:30:00,26.72,120.62,9.28,30.92,40.2,19.87,11.12,1.38,18.87,1.17,0.0,,,1.74,,,91.85,1.97,88.97,,,,1010.6,-0.5
20,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T04:45:00,26.72,120.62,8.85,28.51,37.36,19.52,11.1,1.12,18.84,0.0,4.24,,,0.39,0.46,,91.93,1.97,89.75,,,,1010.8,-0.5
21,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:00:00,26.72,119.24,8.01,27.47,35.48,19.16,10.82,1.34,19.19,1.36,1.91,,,0.3,0.84,,91.93,1.7,81.61,,,,1011.0,-0.5
22,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:15:00,27.44,110.26,7.78,28.35,36.13,19.12,11.1,1.31,18.81,1.88,1.47,,,0.49,0.69,,91.94,1.18,48.04,,,,1011.2,-0.5
23,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:30:00,27.51,110.26,7.98,29.15,37.13,18.9,10.96,1.39,19.11,1.82,2.88,,,,1.42,,91.89,1.31,61.41,,,,1011.3,-0.5
24,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T05:45:00,27.51,110.26,6.92,29.36,36.28,18.6,10.68,1.26,19.42,0.0,0.0,,,0.94,,,91.93,1.28,65.35,,,,1011.5,-0.5
25,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:00:00,27.51,111.87,8.3,23.76,32.06,16.84,10.95,1.29,19.66,2.09,3.94,,,2.76,0.55,,91.99,1.03,36.3,,,,1011.5,-0.5
26,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:15:00,34.24,121.41,7.52,30.74,38.26,17.49,10.55,1.23,19.77,0.0,1.58,,,0.46,,,91.91,1.37,62.53,,,,1011.7,-0.5
27,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:30:00,34.99,121.41,5.91,31.77,37.68,17.68,11.07,1.47,19.71,0.0,3.93,,,0.94,1.38,,91.96,1.45,76.82,,,2.3,1011.9,-0.5
28,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T06:45:00,34.99,121.41,6.58,35.58,42.17,18.35,10.99,1.57,19.82,1.28,0.91,,,0.61,0.62,,92.02,1.31,73.85,,,12.05,1012.1,-0.5
29,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T07:00:00,34.99,119.27,4.51,29.45,33.97,17.55,11.23,0.76,20.24,1.53,3.02,,,1.94,1.57,,92.05,1.41,74.07,,,23.08,1012.3,-0.5
30,site_288,Tamil Nadu,Chennai,"Velachery Res. Area, Chennai - CPCB",2024-01-01T07:15:00,29.4,106.62,3.77,27.09,30.86,17.28,11.21,0.61,20.53,1.19,1.98,,,1.71,,,91.77,1.46,77.23,,,34.53,1012.4,-0.5
